project,exp,year,location,plot,crop,rep,lat,lon,seedyld,strawyld,hayyld,strawRFV,straw_N,straw_C,rootyld,spring_hay_RFV,fall_hay_RFV,ave_hay_RFV,N_leached,N2O_emitted,N_fert,stand_age,ETH_pot,tillage_planting_diesel,tillage_planting_hours,seed_costs,straw_diesel,straw_hours,grain_diesel,grain_hours,hay_diesel,hay_hours,fert_diesel,fert_hours,herb_diesel,herb_hours
IREE_nrate,A,2013,Crookston,3405,iwg,4,45.58822,-95.874869,439,8760,NA,120.7395039,,,,NA,NA,NA,NA,NA,200,1,76.99892249,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2116,iwg,1,44.23621,-95.304218,839,10840,NA,118.0463124,,,,NA,NA,NA,NA,NA,0,2,83.4409959,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,0,0,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2211,iwg,2,44.23621,-95.304218,817,9700,NA,112.6072911,,,,NA,NA,NA,NA,NA,0,2,86.79568187,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,0,0,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2314,iwg,3,44.23621,-95.304218,785,11020,NA,114.4426546,,,,NA,NA,NA,NA,NA,0,2,83.89377771,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,0,0,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2402,iwg,4,44.23621,-95.304218,966,11240,NA,118.3001476,,,,NA,NA,NA,NA,NA,0,2,83.35384562,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,0,0,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2101,iwg,1,44.23621,-95.304218,1087,11820,NA,115.3302237,,,,NA,NA,NA,NA,NA,40,2,88.50296284,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2217,iwg,2,44.23621,-95.304218,981,12080,NA,117.232691,,,,NA,NA,NA,NA,NA,40,2,81.92304678,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2305,iwg,3,44.23621,-95.304218,1303,12760,NA,NA,,,,NA,NA,NA,NA,NA,40,2,NA,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2408,iwg,4,44.23621,-95.304218,1101,12220,NA,118.3046159,,,,NA,NA,NA,NA,NA,40,2,83.51460298,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2107,iwg,1,44.23621,-95.304218,1038,14860,NA,118.2958833,,,,NA,NA,NA,NA,NA,80,2,85.52615869,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2214,iwg,2,44.23621,-95.304218,1096,14600,NA,116.0146779,,,,NA,NA,NA,NA,NA,80,2,82.68218408,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2302,iwg,3,44.23621,-95.304218,1075,14080,NA,115.6451965,,,,NA,NA,NA,NA,NA,80,2,80.90966424,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2405,iwg,4,44.23621,-95.304218,923,13280,NA,116.4091743,,,,NA,NA,NA,NA,NA,80,2,82.48194749,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2104,iwg,1,44.23621,-95.304218,1352,12880,NA,111.8936118,,,,NA,NA,NA,NA,NA,120,2,88.87107952,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2202,iwg,2,44.23621,-95.304218,1241,14220,NA,NA,,,,NA,NA,NA,NA,NA,120,2,NA,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2311,iwg,3,44.23621,-95.304218,1118,10340,NA,119.4425183,,,,NA,NA,NA,NA,NA,120,2,79.76627665,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Lamberton,2414,iwg,4,44.23621,-95.304218,991,9660,NA,118.0169752,,,,NA,NA,NA,NA,NA,120,2,81.19620333,0,0,0,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
