"","experiment","site","plot","date","co2.e.kghyr"
"217","atat","r100","1302","2023-06-27",13524.0138464354
"218","atat","r100","1302","2023-07-10",3443.88335431403
"219","atat","r100","1302","2023-07-25",2222.47824429854
"220","atat","r100","1302","2023-08-07",2775.81788620134
"221","atat","r100","1302","2023-08-21",3493.86461017652
"222","atat","r100","1303","2023-05-17",1535.61373708611
"223","atat","r100","1303","2023-05-31",11214.577803628
"224","atat","R100","1303","2023-06-14",9803.74275057391
"225","atat","r100","1303","2023-06-27",8006.59907109083
"226","atat","r100","1303","2023-07-10",3682.50448560547
"227","atat","r100","1303","2023-07-25",3565.20942044544
"228","atat","r100","1303","2023-08-07",3989.29103554615
"229","atat","r100","1303","2023-08-21",6676.68476516761
"230","ATAT","r100","1304","2022-09-27",9969.7603412919
"231","ATAT","r100","1304","2022-10-11",10837.0619348723
"232","ATAT","r100","1304","2022-10-27",1816.01368842335
"233","atat","r100","1304","2023-05-17",7549.11422571722
"234","atat","r100","1304","2023-05-31",14889.592432904
"235","atat","R100","1304","2023-06-14",2908.14391714642
"236","atat","r100","1304","2023-06-27",4334.60163846454
"237","atat","r100","1304","2023-07-10",5675.31339287701
"238","atat","r100","1304","2023-07-24",4461.73452004981
"239","atat","r100","1304","2023-08-08",10213.258908653
"240","atat","r100","1304","2023-08-21",7246.72556454896
"241","ATAT","r100","1305","2022-09-27",49.3321443899235
"242","ATAT","r100","1305","2022-10-11",8930.36286584086
"243","ATAT","r100","1305","2022-10-27",1514.42978196698
"244","atat","r100","1305","2023-05-17",1866.54730084488
"245","atat","r100","1305","2023-05-31",3034.49379461597
"246","atat","R100","1305","2023-06-14",5242.16164787108
"247","atat","r100","1305","2023-06-27",11903.9806190671
"248","atat","r100","1305","2023-07-10",8186.36586120678
"249","atat","r100","1305","2023-07-24",6326.14808030114
"250","atat","r100","1305","2023-08-07",5534.0199203563
"251","atat","r100","1305","2023-08-21",5063.00019611902
"252","atat","r100","1306","2023-05-17",943.870246476683
"253","atat","r100","1306","2023-05-31",4751.0400725026
"254","atat","R100","1306","2023-06-14",4625.78907741511
"255","atat","r100","1306","2023-06-27",8675.67283161352
"256","atat","r100","1306","2023-07-10",10273.6528386296
"257","atat","r100","1306","2023-07-24",6692.6017800747
"258","atat","r100","1306","2023-08-07",5820.48683388058
"259","atat","r100","1306","2023-08-21",2686.58388613841
"260","ATAT","r100","1307","2022-09-02",34926.5913843943
"261","ATAT","r100","1307","2022-09-08",10946.5530614685
"262","ATAT","r100","1307","2022-09-15",13232.6976591904
"263","ATAT","r100","1307","2022-09-27",1599.61921952238
"264","ATAT","r100","1307","2022-10-11",5117.10385158973
"265","atat","r100","1307","2023-05-17",5556.55594422771
"266","atat","r100","1307","2023-05-31",14175.9720701871
"267","atat","R100","1307","2023-06-14",13008.2021186728
"268","atat","r100","1307","2023-06-28",9234.12697827218
"269","atat","r100","1307","2023-07-10",8067.53469129166
"270","atat","r100","1307","2023-07-24",5507.65291399365
"271","atat","r100","1307","2023-08-07",4440.23715962711
"272","atat","r100","1307","2023-08-21",4647.24082191065
"273","atat","r100","1308","2023-05-16",5625.28604518987
"274","atat","r100","1308","2023-05-31",4816.52861575173
"275","atat","R100","1308","2023-06-14",4778.78896651945
"276","atat","r100","1308","2023-06-27",9814.37175401567
"277","atat","r100","1308","2023-07-10",4504.07266194488
"278","atat","r100","1308","2023-07-24",5976.32409112381
"279","atat","r100","1308","2023-08-07",6847.08687981161
"280","atat","r100","1308","2023-08-21",-11877.7428079105
"281","ATAT","r100","1309","2022-09-27",1743.50070852442
"282","ATAT","r100","1309","2022-10-11",11689.3894854081
"283","ATAT","r100","1309","2022-10-27",2661.79848584859
"284","atat","r100","1309","2023-05-16",1393.5149282108
"285","atat","r100","1309","2023-05-31",5076.9834729961
"286","atat","R100","1309","2023-06-14",4075.64290605073
"287","atat","r100","1309","2023-06-27",8501.74416019036
"288","atat","r100","1309","2023-07-10",973.502736731626
"289","atat","r100","1309","2023-07-24",12901.2333923521
"290","atat","r100","1309","2023-08-07",4690.0494530518
"291","atat","r100","1309","2023-08-21",3234.00634282893
"292","atat","r100","1310","2023-05-16",1071.42893065266
"293","atat","r100","1310","2023-05-31",1345.87551555452
"294","atat","R100","1310","2023-06-14",8126.28348206793
"295","atat","r100","1310","2023-06-28",4462.37745392634
"296","atat","r100","1310","2023-07-10",11582.3781627224
"297","atat","r100","1310","2023-07-24",7768.55183911826
"298","atat","r100","1310","2023-08-07",4108.21047157799
"299","atat","r100","1310","2023-08-21",3851.88560345069
"300","atat","r100","1401","2023-05-17",1614.74735694486
"301","atat","r100","1401","2023-06-01",6628.59270409284
"302","atat","R100","1401","2023-06-15",8317.5501709388
"303","atat","r100","1401","2023-06-28",5584.55524223802
"304","atat","r100","1401","2023-07-11",4270.17873356827
"305","atat","r100","1401","2023-07-25",8956.56873566849
"306","atat","r100","1401","2023-08-08",1761.61321113446
"307","atat","r100","1401","2023-08-21",5462.98041800207
"308","atat","r100","1402","2023-05-17",12331.6478007296
"309","atat","r100","1402","2023-06-01",12589.7534156003
"310","atat","R100","1402","2023-06-15",5655.74337665995
"311","atat","r100","1402","2023-06-28",3179.10861856224
"312","atat","r100","1402","2023-07-11",5539.69634953208
"313","atat","r100","1402","2023-07-25",13091.0932563191
"314","atat","r100","1402","2023-08-08",820.73571467216
"315","atat","r100","1402","2023-08-21",4626.36766266245
"316","atat","r100","1403","2023-05-17",1644.33310129354
"317","atat","r100","1403","2023-06-01",3337.17484674373
"318","atat","R100","1403","2023-06-15",2934.30797750127
"319","atat","r100","1403","2023-06-28",9432.85269392487
"320","atat","r100","1403","2023-07-11",1673.09995418434
"321","atat","r100","1403","2023-07-25",17894.7882567062
"322","atat","r100","1403","2023-08-08",4807.25131434364
"323","atat","r100","1403","2023-08-21",2876.41276929201
"324","ATAT","r100","1404","2022-09-02",11012.9904861867
